nome,tipo,indirizzo_stradale,comune,provincia,cap,lat,lon,telefono,website,email,source
Pizzeria Grotta Azzurra 2,restaurant,Largo Perlar,Verona,Verona,37135,45.4073394,10.9768137,+39045505446,https://grottaazzurra2.eatbu.com/,"Mo 12:00-14:30, 18:00-22:30; Tu off; We-Su 12:00-14:30, 18:00-22:30",Originali
Mensa Universitaria ESU - San Francesco,restaurant,Vicolo Cieco Dietro San Francesco,Verona,Verona,37129,45.4359208,11.0031262,,,,Originali
Ristorante Catena sas di Zampieri Laura & C,restaurant,Viale Europa,Grezzana,Verona,37023,45.52395,11.0211143,+39 045907026,regional,12775537899,Originali
The Brothers,restaurant,Viale Olimpia,Grezzana,Verona,37023,45.5232232,11.0174314,0454826085,https://www.thebrothers.it/,burger;italian,Originali
Ristorante Pizzeria Nuova Speranza,restaurant,Via Gardesane,Verona,Verona,37139,45.4507955,10.9332002,+39 045 8104134,italian;pizza,140824086,Originali
Dolce Gusto,restaurant,Via Sottomonte,Verona,Verona,37124,45.4731332,10.9526686,+39 045 942474,http://www.dolcegustoverona.com/,italian;pizza,Originali
Park Hotel Elefante,restaurant,Strada Bresciana,Verona,Verona,37139,45.4463953,10.9272593,,,,Originali
Locanda al Confin e Osteria le Piere,restaurant,Via Quercia,Verona,Verona,37141,45.5360552,11.0697284,+39 045 472 7666,"Mo-Su 12:00-15:00, 18:00-00:00",4553777227,Originali
Osteria Girasole Ristorante,restaurant,Via Prealpi,Grezzana,Verona,37023,45.5465238,11.0031595,141028767,way,,Originali
ITaste,restaurant,Via Tavigliana,Grezzana,Verona,37023,45.5293281,11.0127385,+390458650862,https://www.itastefood.it/,pizza;burger,Originali
Senza nome,restaurant,Via Monte Rosa,Verona,Verona,37132,45.4268106,11.0574785,4553724503,4553672993,node,Originali
Agriturismo Altobello,restaurant,Via Volte Maso,Verona,Verona,37125,45.4967342,10.9833701,https://www.aibastioniverona.it/home/,http://agriturismoaltobello.it/,italian;pizza,Originali
Trattoria dalla Valentina,restaurant,Via Cancello,Verona,Verona,37141,45.51689,11.0876288,https://it-it.facebook.com/pages/Trattoria-al-Metano-Da-Anna/314258748604147,https://www.agriturismoilporcellino.com/it/,fulvio@agriturismoilporcellino.com,Originali
L'Aquila,restaurant,Via Fenilon,Verona,Verona,37137,45.4235188,10.9481937,,,,Originali
Osteria Verona Antica,restaurant,Via Sottoriva,Verona,Verona,37121,45.4437969,11.0006699,https://osterialafregolaverona.it/,https://ristorantescaligero.it/,scaligeroristorante@gmail.com,Originali
Gallo's,restaurant,Via Piave,Villafranca di Verona,Verona,37069,45.3302192,10.8350687,https://www.gallos.it/villa/ristorante.html,145902391,way,Originali
Locanda del Viandante,restaurant,Via Mantova,Villafranca di Verona,Verona,37069,45.3476562,10.8410116,+39 345 3926788,regional;pizza,145903989,Originali
Capitel Brinchi,restaurant,Via del Capitello,Villafranca di Verona,Verona,37069,45.3769487,10.8815136,+39 045 8581106,https://www.trattoriadabrinchi.com/,info@capitelbrinchi.com,Originali
Cielo Azzurro,restaurant,Via Caluri,Villafranca di Verona,Verona,37062,45.3808011,10.8777514,,,,Originali
Al Parco Pizza & Cucina,restaurant,Viale Verona,Pescantina,Verona,37026,45.4848762,10.892855,pizza,149826790,way,Originali
Ristorante Locanda Bordin,restaurant,Via degli Scaligeri,Bussolengo,Verona,37012,45.4600828,10.8569838,,,,Originali
Ristorante Pizzeria Alla passeggiata,restaurant,Via degli Scaligeri,Bussolengo,Verona,37012,45.4670769,10.8508903,,,,Originali
Pizzeria da Leo,restaurant,Via Carlo Montanari,Quistello,Verona,37060,45.3080014,10.8163294,+39 045 6340371,pizza,152391343,Originali
Bar Pizzeria L'ancora,restaurant,Via Carlo Poma,Villafranca di Verona,Verona,37069,45.3292164,10.7893936,Mo-Su 07:30-24:00; We off; PH off,pizza,152399022,Originali
Simba Restaurant,restaurant,Autostrada del Brennero,Bussolengo,Verona,37012,45.4799359,10.7986099,,,,Originali
El Carnicero,restaurant,,Bussolengo,Verona,37012,45.4846572,10.8146093,,,,Originali
La Fontana ai Ciliegi,restaurant,Via Valpolicella,San Pietro in Cariano,Verona,37029,45.5122986,10.8980472,,,,Originali
La Cascina,restaurant,Via Festara,Bussolengo,Verona,37012,45.4437418,10.8664851,,,,Originali
Giardino Dei Sapori,restaurant,Via Molinara,Bussolengo,Verona,37012,45.4464036,10.8501398,+39 045 6704615,https://www.giardinodeisaporibussolengo.com/,caceffor@gmail.com,Originali
Bottega de Corgnan,restaurant,Via Corgnan,Sant'Ambrogio di Valpolicella,Verona,37015,45.524159,10.8408792,https://www.grotodecorgnan.it/,https://bottegadecorgnan.com,Tu-Sa 20:00-23:30,Originali
Albergo trattoria Croce d'oro,restaurant,Via Valentini,Volargne,Verona,37020,45.5439684,10.821522,,,,Originali
Bar Trattoria Ca´Verde,restaurant,Via Case Sparse Grolette,Sant'Ambrogio di Valpolicella,Verona,37015,45.5359034,10.8294944,,,,Originali
Ristorante Casale Spighetta,restaurant,Via Spighetta,Negrar di Valpolicella,Verona,37024,45.5626723,10.9423148,+39 0457 502188,https://www.casalespighetta.it/,169909300,Originali
pizzeria la Fenice,restaurant,Via Aleardo Aleardi,Negrar di Valpolicella,Verona,37024,45.5767994,10.9518729,,,,Originali
Pizzeria La Lumiere,restaurant,Via Ponzeio,Negrar di Valpolicella,Verona,37024,45.5763259,10.9490509,,,,Originali
Ristorante Valpolicella da Luciano,restaurant,Via Malanchini,Negrar di Valpolicella,Verona,37024,45.5526636,10.9364583,,,,Originali
Agriturismo Camposilvano,restaurant,Via Camposilvano,Velo Veronese,Verona,37030,45.6274586,11.089505,,,,Originali
Colle San Felice,restaurant,Strada Castellana,Verona,Verona,37128,45.4582776,11.0100693,+39 340 198 3077,http://www.trattorieverona.it/,"Mo-Th 07:30-21:30; Fr 07:30-22:30, Sa 08:00-22:00",Originali
Antica locanda Grotta,restaurant,Via Santa Lucia,Valeggio sul Mincio,Verona,37067,45.3841392,10.7669975,+39 045 6304194,http://www.ristorantelagrotta.it/,"Mo,Tu off; We-Sa 12:00-15:00, 19:00-22:00; Su 12:00-15:00",Originali
Ristorante Santa Lucia,restaurant,Vicolo dei Colli,Valeggio sul Mincio,Verona,37067,45.3837654,10.7687662,+39 045 6301015,http://www.santaluciavaleggio.it/,187723617,Originali
Agriturismo La Palazzina,restaurant,Via Palazzina,Isola della Scala,Verona,37063,45.2597153,10.9957474,195702901,way,,Originali
Senza nome,restaurant,Via Ca' Magre,Isola della Scala,Verona,37063,45.2590858,11.0036708,,,,Originali
L'Artigliere,restaurant,Via Boschi,Isola della Scala,Verona,37063,45.2902199,11.0185155,+39 392 3400350,https://www.artigliere.net/,regional,Originali
La Capannina,restaurant,3,Malcesine,Verona,37018,45.7721823,10.8650536,,,,Originali
Baita Genzianella,restaurant,,Ferrara di Monte Baldo,Verona,37020,45.7057124,10.859038,,,,Originali
Rifugio Novezzina,restaurant,Strada Provinciale Monte Baldo,Ferrara di Monte Baldo,Verona,37020,45.6991551,10.8585515,,,,Originali
Senza nome,restaurant,Via Madonna,Bovolone,Verona,37051,45.2704806,11.1012035,,,,Originali
Senza nome,restaurant,Via Monte Altissimo,Cerea,Verona,37053,45.1881133,11.2222424,,,,Originali
Bar Trattoria Da Carlo,restaurant,Via San Zeno,Cerea,Verona,37053,45.2067232,11.2009302,+39 0442 82977,https://trattoriadacarlo.jimdofree.com/,trattoriadacarlocerea@gmail.com,Originali
Senza nome,restaurant,Via Dossi,Venera,Verona,37058,45.1797919,11.1706058,,,,Originali
Ristorante da Sandro,restaurant,Percorso La Verbena,Legnago,Verona,37045,45.1964339,11.3078666,,,,Originali
La Compagnia,restaurant,Via Cesare Battisti,Fosse,Verona,37020,45.6455761,10.936448,,,,Originali
Senza nome,restaurant,Via Diga,Zevio,Verona,37059,45.3821463,11.1344927,,,,Originali
Al Terrazzo,restaurant,Via Monti Lessini,Erbezzo,Verona,37020,45.6365381,11.0006549,+39 045 7075023,pizza;regional,214563723,Originali
Agriturismo La Marmacola,restaurant,Contrada Santa Margherita,Bosco Chiesanuova,Verona,37021,45.6197568,11.0403493,+393518099884,214578424,way,Originali
La Baita,restaurant,Largo Jenna,Bosco Chiesanuova,Verona,37021,45.6206519,11.0272277,,,,Originali
Trattoria Ponte di Veja,restaurant,,Sant'Anna d'Alfaedo,Verona,37020,45.6075727,10.9700689,,,,Originali
L'Araldo,restaurant,Contrada Pianura,Bosco Chiesanuova,Verona,37021,45.5805956,11.0420604,,,,Originali
Autogrill,restaurant,Autostrada Serenissima,Castelletto,Verona,37038,45.4110634,11.2334817,,,,Originali
Gallo's & co,restaurant,Via del Commercio,Castelletto,Verona,37038,45.4086365,11.2282851,+39 045 6100068,chicken,217537736,Originali
Vecchio Mulino Beach,restaurant,Strada Bergamini,Peschiera del Garda,Verona,37019,45.4478895,10.6740219,,,,Originali
Al Casot,restaurant,Strada Provinciale della Val d'Adige,Brentino Belluno,Verona,37020,45.6982541,10.922018,,,,Originali
Autogrill Adige Brennero Ovest,restaurant,Autostrada del Brennero,Sabbionara,Verona,38063,45.6931362,10.9120047,,,,Originali
Agriturismo Costasenel,restaurant,Via del Baldo,Belluno Veronese,Verona,37020,45.6880994,10.8922049,,,,Originali
Al Palazzio,restaurant,Autostrada del Brennero,Rivalta,Verona,37020,45.6552907,10.8888133,,,,Originali
Pizzeria Dai Fradei,restaurant,Via Sant'Urbano,Molina,Verona,37022,45.611631,10.9123652,,,,Originali
Paroletto,restaurant,Strada Provinciale 33 del Pastello,Breonio,Verona,37022,45.6120938,10.8889801,,,,Originali
Malga Ime,restaurant,Strada per Ime,Ferrara di Monte Baldo,Verona,37020,45.6596222,10.8297938,,,,Originali
Ai Tracchi,restaurant,Strada Provinciale 6,Bosco Chiesanuova,Verona,37021,45.6672051,11.0544004,,,,Originali
Malga Moscarda,restaurant,SP14,Bosco Chiesanuova,Verona,37021,45.6707203,11.0494382,,,,Originali
Rifugio G. Chierego,restaurant,Variante 656,Ferrara di Monte Baldo,Verona,37020,45.6829132,10.818791,,,,Originali
Cima 11,restaurant,Via Cristo,Pazzon,Verona,37013,45.6154958,10.831907,,,,Originali
Casa di Peper,restaurant,SP10,Sant'Andrea,Verona,37030,45.5949348,11.1500409,,,,Originali
Ristorante Conca dei Parpari,restaurant,SP6,Roverè Veronese,Verona,37028,45.6454509,11.0920106,,,,Originali
Trattoria il ReMilla,restaurant,SP17,Selva di Progno,Verona,37030,45.6081753,11.1798779,,,,Originali
Albergo Cacciatore,restaurant,Via Prada,Prada,Verona,37010,45.6611679,10.7685799,+39 045 7285139,https://www.al-cacciatore.it/default.aspx,info@al-cacciatore.it,Originali
Agriturismo Malga Baito dei Santi,restaurant,Via del Sengel,Prada,Verona,37010,45.6522888,10.7648708,,,,Originali
Malga Traure,restaurant,Strada per Naole,Prada,Verona,37010,45.6541244,10.780259,,,,Originali
Casa di Caccia,restaurant,Sentiero della lana,Illasi,Verona,37039,45.4950901,11.1926416,,,,Originali
La Cupola,restaurant,Via Mezzavilla,Cellore,Verona,37031,45.4836281,11.180215,+39 045 657 8954,https://www.facebook.com/pages/category/Pizza-place/Pizzeria-La-Cupola-107956738180220/,lacupolasnc@hotmail.com,Originali
Agriturismo Monte Sassetti,restaurant,Via Pontesello,Colognola ai Colli,Verona,37030,45.4255796,11.1960699,,,,Originali
Baita Cerato,restaurant,Via San Giovanni Battista,Bolca,Verona,37030,45.5947728,11.2098429,,,,Originali
Lido Sopri,restaurant,Via Lungolago,Malcesine,Verona,37018,45.7543986,10.7996132,,,,Originali
Erbecedario Ristorante,restaurant,Vecchia Via della Lana,Badia Calavena,Verona,37030,45.5917784,11.174219,+39 045 6510024,http://www.erbecedarioristorante.it,regional,Originali
Senza nome,restaurant,Via Provinciale,Vago,Verona,37030,45.4196557,11.1352406,+39 045 6152230,http://www.ristorantebattisti.it/,regional,Originali
Casa degli Spiriti,restaurant,Via Monte Baldo,Albisano,Verona,37010,45.6190919,10.7162547,+39 045 6200766,https://casadeglispiriti.it/it/,info@casadeglispiriti.it,Originali
Locanda San Verolo,restaurant,Via San Verolo,Castion Veronese,Verona,37010,45.6030784,10.7375924,https://www.sanverolo.it/,817685893,node,Originali
Agritouristica Le Rasole,restaurant,Via San Bernardo,Garda,Verona,37016,45.5757458,10.7297985,11:00-24:00,4591353694,3930926057,Originali
Osteria Metti,restaurant,Località Incaffi,Affi,Verona,37010,45.5504845,10.7635351,,,,Originali
Le Palafitte,restaurant,Via Santa Cristina,Cisano,Verona,37011,45.5383815,10.7264754,,,,Originali
Hosteria del Durello,restaurant,Via Cabalao,Montecchia di Crosara,Verona,37030,45.4824427,11.250795,+39 045 654 0404,https://www.hosteriadeldurello.it/,italian,Originali
Pizzeria Sole - Birrificio 9.1,restaurant,Via degli Alpini,Montecchia di Crosara,Verona,37030,45.4814408,11.2556773,pizza,232523468,way,Originali
Il Mottino,restaurant,Largo Europa,Garda,Verona,37016,45.5717948,10.7096453,,,,Originali
Bar Trattoria alla Prada,restaurant,Via della Pradà,Cisano,Verona,37011,45.5209359,10.7377335,,,,Originali
Esperia,restaurant,Via Dante,Lazise,Verona,37017,45.5096808,10.7314454,,,,Originali
Ristorante Pizzeria Due Laghi,restaurant,Località Vegri,Lazise,Verona,37017,45.4943449,10.7666692,"Th-Tu 12:00-14:00,18:00-23:00",234243362,way,Originali
Restaurant Terrasse,restaurant,Straße 34,Pacengo,Verona,37017,45.4710642,10.7160603,,,,Originali
Ristorante Corte Dal Castello,restaurant,Via Croce,Colà,Verona,37017,45.4712975,10.7423826,regional;italian;cake;salad;dessert;seafood;pasta,regional;italian;pasta;salad,236414825,Originali
Sorriso,restaurant,Via Gardesana,Cavalcaselle,Verona,37014,45.4488134,10.7122015,,,,Originali
Antica Osteria Busocaldo,restaurant,Via Strada Massoni,Peschiera del Garda,Verona,37019,45.4352771,10.6473976,,,,Originali
Bar-Trattoria Loda,restaurant,Via 1866,Peschiera del Garda,Verona,25019,45.4445049,10.6446404,,,,Originali
Sapori in cantina,restaurant,Via Strada Berra,Peschiera del Garda,Verona,37019,45.4275763,10.6569347,,,,Originali
Al Pellegrino,restaurant,Via Frassino,Peschiera del Garda,Verona,37019,45.4317726,10.6754433,,,,Originali
Pizzeria da Mariano,restaurant,località Badoara,Peschiera del Garda,Verona,37019,45.4318711,10.6803663,,,,Originali
Corte Riga,restaurant,Via Salisburgo,Peschiera del Garda,Verona,37019,45.4453853,10.6743633,,,,Originali
Trattoria da Marisa e Elvio,restaurant,Via Campagna Rossa,Valeggio sul Mincio,Verona,37067,45.404167,10.7293374,,,,Originali
Agriturismo corte zenati,restaurant,Via Zenati,Castelnuovo del Garda,Verona,37014,45.4134014,10.7378361,,,,Originali
TRATTORIA PIZZERIA da GULI,restaurant,Via Zuccotti,Cavalcaselle,Verona,37014,45.4211126,10.7259664,,,,Originali
Relais,restaurant,Via Libertà,Castelcerino,Verona,37038,45.4636618,11.2386837,,,,Originali
Agriturismo Gasparin,restaurant,Via Roncolati,Santa Margherita,Verona,37030,45.4967856,11.2921863,,,,Originali
Antares,restaurant,Viale Postumia,Villafranca di Verona,Verona,37062,45.3699236,10.871463,,,,Originali
Ristorante Lido Paina,restaurant,Via Paina,Malcesine,Verona,37018,45.7691288,10.8108292,,,,Originali
Pizzeria Ristorante Birreria Suan,restaurant,Via Rocolo,San Giovanni Ilarione,Verona,37035,45.5255027,11.2725135,+39 045 6550257,antosuan@gmail.com,italian;pizza,Originali
Colombare,restaurant,Via Castello San Felice,Verona,Verona,37125,45.4541858,11.0067378,+39 045 583588,Mo-Fr 07:30-20:30,yes,Originali
Taverna Ristoro Di Frattini Rosella Susie,restaurant,Via Mosche,Legnago,Verona,37045,45.1941063,11.3369921,,,,Originali
Pizzeria Stella,restaurant,Via Dante Alighieri,Correzzo,Verona,37060,45.1485261,11.1157402,,,,Originali
Agriturismo la Preara,restaurant,Via Sambuco,Brognoligo,Verona,37032,45.4539976,11.2670274,,,,Originali
Osteria Dogana dal 1969,restaurant,Piazza Vittorio Emanuele,Albaredo d'Adige,Verona,37041,45.3179952,11.2677263,314348391,way,,Originali
Ristorante San Marco,restaurant,Via Raffaello Sanzio,Valeggio sul Mincio,Verona,37067,45.3538071,10.7254287,+39 3476805241,2250232943,node,Originali
Trattoria El Fogolar,restaurant,Via Giuseppe Mazzini,Villafranca di Verona,Verona,37069,45.3298937,10.788926,+39 045 794 0176,"Mo-We 07:00-12:30; Tu-Sa 07:00-12:30,16:30-19:30; Jul-Aug: Mo-Sa 07:00-12:30; PH off",5443212763,Originali
Chiosco la Bosca,restaurant,Strada della Ponta,Pacengo,Verona,37017,45.4778825,10.7184641,pizza,357004405,way,Originali
Trattoria Pizzeria Quinto Miglio,restaurant,Via Valpantena,Verona,Verona,37142,45.4940857,11.0189187,+39 045 550361,https://pizzeriafocacceriaquattrocento.it/,"Mo off, Tu-Sa 19:00-24:00, Su 18:30-23:30",Originali
Trattoria Sondrio,restaurant,Via Giuseppe Verdi,Castel d'Azzano,Verona,37060,45.3764077,10.96664,,,,Originali
Osteria alla Rosa,restaurant,Via Cerche,Malcesine,Verona,37018,45.7650853,10.8098509,,,,Originali
Villa Bongiovanni,restaurant,Via Casotti,San Bonifacio,Verona,37047,45.4138108,11.3280567,"Mo-Sa 08:30-14:00,15:30-19:45",6731344090,node,Originali
Locanda Le Muse,restaurant,Via Casotti,San Bonifacio,Verona,37047,45.412911,11.3279343,,,,Originali
s´Aligusta,restaurant,Via Bell'Italia,Peschiera del Garda,Verona,37019,45.4447847,10.6720616,,,,Originali
Ristorante Frassino,restaurant,Via Frassino,Peschiera del Garda,Verona,37019,45.4291721,10.6767211,,,,Originali
Hotel Johnson,restaurant,Via Marina,Peschiera del Garda,Verona,37019,45.4409653,10.6967963,,,,Originali
Rosso Peperone,restaurant,Via Generale Carlo Alberto Dalla Chiesa,Pescantina,Verona,37026,45.4838204,10.869978,,,,Originali
Le Magnolie,restaurant,Via Emilio Salgari,Peschiera del Garda,Verona,37019,45.4418133,10.6991705,,,,Originali
La Torretta,restaurant,Via G. Galilei,Peschiera del Garda,Verona,37019,45.4385018,10.6934484,,,,Originali
Al Ponte,restaurant,Via Venezia,Peschiera del Garda,Verona,37019,45.4405688,10.6992425,,,,Originali
Osteria Le Spine,restaurant,Via Vecchio Mulino,Peschiera del Garda,Verona,37019,45.4461832,10.670272,,,,Originali
Villa Vento,restaurant,Via Ossario,Sommacampagna,Verona,37066,45.3816717,10.7942944,+39 045 516003,https://www.ristorantevillavento.com/it/index.php,"We-Su 12:15-14:00, 19:15-22:30, Mo-Tu off",Originali
Autogrill,restaurant,Autostrada Serenissima,Sommacampagna,Verona,37066,45.4168624,10.8277431,italian;regional,6182113982,node,Originali
Piper,restaurant,Via Torricelle,Verona,Verona,37128,45.4665727,11.0069433,,,,Originali
Pizzeria f222,restaurant,Via Colonnello Giovanni Fincato,Verona,Verona,37131,45.4527461,11.0197745,http://www.f222.it/,pizza,416517197,Originali
Speck Stube Malcesine,restaurant,Via Navene Vecchia,Navene,Verona,37018,45.7838246,10.821195,,,,Originali
Il Bacco d'oro - Parco di Venere,restaurant,Via Venturi,Mezzane di Sotto,Verona,37030,45.4696387,11.1296585,,,,Originali
"Agriturismo ""La Cueva""",restaurant,Ciclabile,San Bonifacio,Verona,37040,45.386176,11.2658878,,,,Originali
Hayashi,restaurant,SR11,Bussolengo,Verona,37012,45.4464888,10.8551791,+39 377 820 0298,japanese,439263545,Originali
Via Verde,restaurant,Strada Provinciale 16,Velo Veronese,Verona,37030,45.5960477,11.1066197,,,,Originali
Pizzeria Paola,restaurant,Via Gardesana Orientale,Navene,Verona,37018,45.7998394,10.8376699,,,,Originali
Alla Rama,restaurant,Via Navene Vecchia,Malcesine,Verona,37018,45.7809901,10.8208417,,,,Originali
Trattoria Molini,restaurant,Via Valle dei Molini,Garda,Verona,37016,45.5861613,10.7259967,+39 045 7256339,2467706096,446993635,Originali
La Costa In Bra',restaurant,Piazza Bra,Verona,Verona,37121,45.4396053,10.9932447,+39 045 803 2849,https://www.lacostainbra.it/,"Mo-Su 12:00-14:30,19:00-23:00",Originali
Le Dase,restaurant,Via Navene Vecchia,Malcesine,Verona,37018,45.7760235,10.8183473,,,,Originali
Ca Vecia,restaurant,Via Navene Vecchia,Navene,Verona,37018,45.7900266,10.8278324,,,,Originali
Capri,restaurant,Via Don Quirico Turazza,Malcesine,Verona,37018,45.7629196,10.8077349,,,,Originali
Mignon,restaurant,Via Dosso,Malcesine,Verona,37018,45.7649811,10.8084334,,,,Originali
Da Pedro,restaurant,Via Porto Vecchio,Malcesine,Verona,37018,45.7647527,10.8072303,,,,Originali
Pizzeria Capannina,restaurant,Via Poiano,Garda,Verona,37016,45.5800593,10.7303887,,,,Originali
Autogrill,restaurant,SR11var,Cavalcaselle,Verona,37014,45.4300284,10.7143492,,,,Originali
Autogrill Lazise,restaurant,Superstrada Peschiera-Affi,Colà,Verona,37017,45.4794855,10.7651469,,,,Originali
Bellavista,restaurant,Piazza Eichstatt,Bolca,Verona,37030,45.5937063,11.2094122,,,,Originali
Adele,restaurant,Via Villa Bolca,Bolca,Verona,37030,45.5942503,11.2078831,italian,472582378,node,Originali
Alla Palazzina,restaurant,Località Prada Bassa,Prada,Verona,37010,45.6650663,10.7711753,+39 045 6289251,474971982,node,Originali
Ristorante Pizzeria La Staffa,restaurant,Via Avv. Gianni Augusto Ruffo,Arcole,Verona,37040,45.3735356,11.2870075,,,,Originali
Il Castagneto,restaurant,Via Corrubio,San Zeno di Montagna,Verona,37010,45.6413101,10.7542011,+39 0457285121,https://hotelcastagnetosanzeno.it/,475542083,Originali
Albergo Capriolo,restaurant,Contrada Pra' Bestema',San Zeno di Montagna,Verona,37010,45.6474167,10.7561233,+39 045 7285127,475542085,node,Originali
"Pizzeria ""Al gatto verde""",restaurant,Via Giacomo Matteotti,Belfiore,Verona,37050,45.380536,11.2128448,,,,Originali
Botanika,restaurant,Strada Gardesana,Bardolino,Verona,37011,45.5641603,10.7127773,,,,Originali
La Lanterna,restaurant,Via Torrente Gusa,Garda,Verona,37016,45.5787734,10.7295967,https://lalanternagarda.it/,"We-Mo 12:00-14:00,18:30-22:00",italian,Originali
El Brol,restaurant,Via Quattro Novembre,Castion Veronese,Verona,37010,45.6061444,10.7270575,,,,Originali
Malga Faggioli,restaurant,Via Fittanze,Erbezzo,Verona,37020,45.6503358,10.9893763,,,,Originali
Al Giardinetto,restaurant,Via Campagnol di Tombetta,Verona,Verona,37134,45.4152039,10.993411,pizza,4862199190,node,Originali
Osteria al Duca,restaurant,Via Arche Scaligere,Verona,Verona,37121,45.4434505,10.9993864,+39 045 594474,494911938,node,Originali
Il Giardinetto,restaurant,Via Don Marcellino Faccio,San Zeno di Montagna,Verona,37010,45.631047,10.7226986,https://ilgiardinetto.eu/,"We off; Th-Tu 12:00-14:30,18:30-22:30",4836345122,Originali
Pizzeria Il Thempio,restaurant,Raccordo Autostradale,San Martino Buon Albergo,Verona,37036,45.417747,11.0826596,,,,Originali
Piccola locanda,restaurant,Via Albere,Bussolengo,Verona,37012,45.4794353,10.8695833,,,,Originali
Zorba,restaurant,Via della Filanda,Pescantina,Verona,37026,45.4845874,10.8671873,,,,Originali
Trattoria al tempio,restaurant,Via Chioda,Verona,Verona,37136,45.4087527,10.9506599,https://www.osteriamontebaldo.com/,"Tu-Th 10:00-14:00, 18:00-21:00; Fr, Sa 10:00-14:00, 18:00-01:00; Su 10:00-13:00, 18:00-21:00",Mo-Fr 09:00-24:00; Sa-Su 08:00-03:00,Originali
Ristorante & Bar Montebaldina,restaurant,Via Lumini,San Zeno di Montagna,Verona,37010,45.6284687,10.7559432,https://www.hotelmontebaldina.it/,info@hotelmontebaldina.it,"Mo-Su 12:00-14:15,19:15-21:30",Originali
"Trattoria ""La Mora""",restaurant,Piazza Giacomo Matteotti,Cazzano di Tramigna,Verona,37030,45.4711729,11.2040993,+393464796513,italian;pizza,513289402,Originali
Locanda Buglioni,restaurant,Via Cariano,San Pietro in Cariano,Verona,37029,45.5115365,10.8624192,https://locandabuglioni.it/,italian,516200808,Originali
Pizzeria Italia,restaurant,Via Lavello,Verona,Verona,37125,45.4720945,10.9746413,pizza,4553717550,node,Originali
Casa Rosa,restaurant,Via Pradelle,Verona,Verona,37142,45.481675,11.0433858,+39 346 0049215,"Mo-Sa 07:00-13:00, 16:30-19:30",info@pescaria.it,Originali
Cantina Del Sol,restaurant,Via dell'Orsa Maggiore,Sommacampagna,Verona,37066,45.4101022,10.8352284,+390458961478,cantinadelsol.it,we-mo 19:00-00:00; Tu off,Originali
Bacco Re,restaurant,Via Roma,Povegliano Veronese,Verona,37064,45.3448189,10.8819136,,,,Originali
Da Umberto,restaurant,Via Imbarcadero,Castelletto,Verona,37010,45.687613,10.7497491,https://www.osteriaalpescatore.it/,Tu-Su 19:30-22:00; Mo off,2298439330,Originali
Taverna San Vigilio,restaurant,Via San Carlo,Garda,Verona,37016,45.5728935,10.6720862,6731995949,node,,Originali
Camporosso,restaurant,Via Campo Rosso,Colà,Verona,37017,45.4686195,10.7418991,,,,Originali
