nome,tipo,indirizzo_stradale,comune,provincia,cap,lat,lon,telefono,website,email,orari,cucina,osm_id,osm_type
Kappa2,ristorante,,,VR,,45.6369633,10.7319615,,,,,pizza,685601720,node
Gatto Moro,ristorante,"Via Giotto, 21",Borghetto di Valeggio sul Mincio,VR,37067,45.3549362,10.7226658,+39 045 6370570,https://www.hotelfaccioli.it/gatto-moro.php,,,regional,694501507,node
La Vecchia Bottega,ristorante,"Via Michelangelo Buanarroti, 6",Borghetto di Valeggio sul Mincio,VR,37067,45.3536246,10.7237531,+39 045 637 0183,https://www.lavecchiabottegadiborghetto.it/,,,regional,694501641,node
Antica Locanda Mincio,ristorante,"Via Michelangelo Buanarroti, 12",Borghetto di Valeggio sul Mincio,VR,37067,45.3535307,10.7237024,,https://www.anticalocandamincio.it/,,,regional,694501642,node
La Cantina,ristorante,Via Giotto,Borghetto di Valeggio sul Mincio,VR,37067,45.3542748,10.7234627,+39 045 6370605,https://www.hotelfaccioli.it/la-cantina.php,,,regional,694501644,node
Osteria Al Volto,ristorante,"Via Giotto, 1",Borghetto di Valeggio sul Mincio,VR,37067,45.3541754,10.7236541,+39 3486964172,,,,regional,694501645,node
Osteria La Follia,ristorante,,,VR,,45.3545042,10.8465593,,,,,,694537257,node
Bar Pappagallo,bar,Passeggiato Rivalunga,,VR,37011,45.5563979,10.7165247,+39 351 516 7023,,,,,694608220,node
Il BarKino Beach Cafe,bar,Passeggiata Rivalunga,Bardolino (VR),VR,37011,45.5583612,10.7154125,,,,unknown,,694608225,node
Eden Food and Drink,bar,Passeggiata Rivalunga,Bardolino (VR),VR,37011,45.5609644,10.7138739,,,,unknown,,698908391,node
Arca,ristorante,,,VR,,45.5610754,10.718469,,,,,,698908393,node
Bar Campagnari,bar,"Via Lumini, 23",San Zeno di Montagna,VR,,45.6279675,10.7549114,,,,,,702234309,node
Corte Dal Castello,ristorante,Via Croce,Colà,VR,37017,45.4713218,10.7423273,,,,,regional;italian;cake;salad;dessert;seafood;pasta,703365154,node
Senza nome,panetteria,,,VR,,45.4717481,10.7425251,,,,,,703365158,node
Trattoria Dal Pansa,pub,,,VR,,45.4736234,10.7432701,,,,,,703365266,node
Gino's Bar,pub,,,VR,,45.4742464,10.7424227,,,,"Th-Tu 08:00-14:00,18:00-02:00",,703365269,node
Baretto,pub,,,VR,,45.4723188,10.749485,,,,"Tu-Su 09:00-14:00,17:30-02:00",,703365334,node
Pizzeria Fantasia,ristorante,,,VR,,45.4722907,10.7482904,,,,,,703365346,node
La Bottega del Pane,panetteria,,,VR,,45.4599991,10.7836335,,,,"Mo-Fr 07:30-12:45, Mo-Sa 16:00-19:00, Sa,Su 07:30-12:45",,703787314,node
Splatter,caffè,,,VR,,45.4604892,10.7855957,,,,"Tu-Su 07:00-13:00,16:30-21:00; Mo 07:00-13:30",,703787332,node
Martini,caffè,,,VR,,45.4416851,10.7635628,,,,"Mo-Sa 07:30-12:30,15:30-19:45; Su 07:30-12:30",,707443470,node
Pizzeria Ai Testi,ristorante,,,VR,,45.4413033,10.7585392,,,,,pizza,707443618,node
La Locanda delle Fornase,ristorante,"Via Derna, 5",Castelnuovo del Garda,VR,37014,45.4443915,10.7236043,,,,,regional,721165658,node
Le 2 Spighe,panetteria,,,VR,,45.4733241,10.8505239,,,,,,724299611,node
Life,caffè,,,VR,,45.4735386,10.8504283,,,,,,724299619,node
Mada Cafè,caffè,,,VR,,45.4389921,10.9908952,,,,,,724316612,node
La Cometa Azzurra,ristorante,,,VR,,45.4439771,10.7034679,,,,,pizza;italian,728700410,node
Bar Posta,caffè,,,VR,,45.4412261,10.701437,,,,,,728700466,node
Rock & Roll Restaurant,ristorante,,,VR,,45.4788906,10.7278581,+39 045 69 69 701,,,"Apr-Nov Sa,Su,PH,PH -1 day 18:30-00:00",burger;pizza;italian;chicken,746669382,node
Senza nome,ristorante,,,VR,,45.4801365,10.7208185,,,,,,746669996,node
Ristorante Bar Senzanome,ristorante,"Piazzale Porto, 1",Pacengo di Lazise,VR,37010,45.467906,10.7132362,,,,,italian,746673071,node
La Forgia,ristorante,,Lazise,VR,37017,45.5056689,10.7314975,,,,,,746684859,node
Girasole,ristorante,,,VR,,45.4989475,10.7453093,,,,,regional,760500370,node
Beach 03 Ristobar,bar,Passeggiata Rivalunga,Bardolino (VR),VR,37011,45.559424,10.7148197,,,,unknown,,764404347,node
Hostaria Favellina,ristorante,,,VR,,45.6231881,11.3971851,,,,,,806526648,node
Monti Lessini,ristorante,,,VR,,45.6942819,10.9755218,+39 0464 671253,,,,regional,811268615,node
Taverna Max,bar,,,VR,,45.6060963,10.7267513,,,,,,814932558,node
Locanda San Verolo,bar,"Localita' San Verolo, 1",Costermano,VR,37010,45.6031794,10.7374497,,https://www.sanverolo.it/,,,,817685893,node
Caffè Nuovo,bar,,,VR,,45.6061232,10.7953283,,,,,,817723788,node
Bar all'Angolo,caffè,,,VR,37013,45.606536,10.7954587,,,,,,817724811,node
Millenium,bar,,,VR,,45.5876132,10.74619,,,,,,817756416,node
Hotel Pinamonte,ristorante,,,VR,,45.5869482,10.7429176,,,,,,817761311,node
Senza nome,bar,,,VR,,45.5879119,10.742634,,,,,,817762534,node
Trattoria Miralago,ristorante,,,VR,,45.58487,10.7309076,,,,,,817766187,node
La Cross,ristorante,"Via della Pace, 4",Garda,VR,37016,45.5794989,10.7200664,,,,,italian,817770159,node
Morsi&Sorsi,ristorante,,,VR,,45.5023866,10.7358107,,,,,,824350623,node
Speck Stube,ristorante,"Via Croce, 1",Bardolino,VR,37011,45.5476496,10.7244678,+39456210918,https://www.speckstube.eu/,,"Mo-Su 12:00-14:30,18:00-22:30",steak_house;pizza,824404227,node
Senza nome,ristorante,,,VR,,45.5526488,10.7219643,,,,,,824413777,node
Ristorante Tregnago,ristorante,"Via Campitelli, 1",Montecchia di Crosara,VR,37030,45.4641286,11.2832588,,https://www.ristorantetregnago1908.com,,,italian,825932994,node
Mandolara,ristorante,,,VR,,45.5731594,10.7105299,,,,,,831350758,node
La Virata,ristorante,"Via Fosse, 40",Bardolino,VR,37011,45.5475629,10.7223153,,,,"Mo-Su 12:00-14:30, 17:30-23:00",,835467832,node
Mimosa,bar,,,VR,37011,45.5482232,10.7182944,,,,,,835470106,node
Asso Bar,pub,,,VR,37011,45.5469912,10.7218515,,,,,,835591385,node
Bar Alle Mura,bar,,,VR,37011,45.5481655,10.7201477,,,,,,835649797,node
Trattoria Relax,ristorante,,,VR,,45.606132,10.7301934,,,,,,843308173,node
Paella valenciana style,ristorante,"Via Valpantena, 106",Verona,VR,37142,45.4967304,11.0188439,+39 329 4234141,www.latrattoriaitaliana.com,info@latrattoriaitaliana.com,,spanish,847557856,node
Pizzeria Bar da Leo,ristorante,"Via Valpantena, 62",Verona,VR,,45.5000583,11.0174564,+39 045 550361,,,Tu-Sa 06:30-22:00; Mo 06:30-15:30; Su off,,847558144,node
Brenzan,panetteria,"Via Fusina, 23",Grezzana,VR,37023,45.5131789,11.0164305,+39 045 907076,,,,,848278497,node
Putapariò,ristorante,,,VR,,45.5032302,11.0172037,,,,,pizza,848278499,node
Olmo,pub,,,VR,,45.5184726,11.0172127,,,,,,848296119,node
Bar Paninoteca Dal Colle,caffè,,,VR,,45.4428956,11.0202737,,,,,,850731530,node
S. Carlo,bar,,,VR,,45.5141638,11.0172783,,,,,,858468213,node
Biri Ristorante,ristorante,,,VR,37011,45.5472745,10.7215629,,,,,,866078807,node
Ristorante Pizzeria Al Frantoio,ristorante,,,VR,,45.6033842,10.7648427,,,,,,871874545,node
Lido,ristorante,,,VR,37017,45.5007847,10.7332818,,,,,,878787798,node
Al Vecchio Vinile,ristorante,,,VR,,45.6762886,11.3282842,,,,,,885449314,node
Bar Lido,bar,,,VR,,45.5775379,10.7019897,,,,,,885855603,node
Movie,bar,,,VR,,45.4837471,10.8693263,,,,,,889156269,node
Mixup,bar,,,VR,,45.4838411,10.8695408,,,,,,889156314,node
feel in,caffè,,,VR,,45.4838476,10.8693665,,,,,,889156414,node
Waikiki,bar,,,VR,,45.5337951,10.7268827,,,,,,890153350,node
Fortuna,ristorante,,,VR,,45.5704297,10.7592029,,,,,,890682141,node
Patasciù,fast_food,,,VR,,45.4966767,10.8697625,+39 045 715 0087,,,,pizza,891692125,node
Cà Morel,ristorante,"Via Ca´Morel, 1",Costermano sul Garda,VR,37010,45.591873,10.7139592,+39 45 6279046,https://www.camorel.it,,,italian,895451906,node
Senza nome,bar,,,VR,,45.5523596,10.7801933,,,,,,899483138,node
Senza nome,bar,,,VR,,45.5425248,10.7758166,,,,,,899492800,node
Al Cardellino,ristorante,,,VR,,45.5254138,10.7319622,,,,Th-Su 19:00-22:30; Su 12:00-14:30,regional,901780547,node
Al Germano Reale,ristorante,"Via Peschiera, 10",Cisano,VR,37010,45.5297203,10.7264127,+39 45 7210452,http://www.algermanoreale.com/,,,regional,901780573,node
Due Alfieri,ristorante,,,VR,,45.5295572,10.7261198,,,,,regional,901780578,node
Yacht Bar,bar,"Lungolago Francesco Lenotti, 4",Bardolino,VR,37011,45.5468441,10.7196013,,,,,,915486592,node
Bar Pizzeria First Meeting,ristorante,,,VR,,45.5779483,10.7129032,,,,,,922471153,node
Pizzeria Milano,ristorante,,,VR,,45.577538,10.712243,,,,,pizza,922473889,node
Bar Pizzeria,fast_food,,,VR,,45.5752538,10.7207122,,,,,,924200162,node
Pizzeria,fast_food,,,VR,,45.5761165,10.7130109,,,,,,924221783,node
Senza nome,bar,,,VR,,45.2904952,11.1819883,,,,,,945430714,node
Senza nome,bar,,,VR,,45.2896486,11.1810462,,,,,,945430741,node
Osteria da Montresor,ristorante,"Via Bionde, 128",Verona,VR,37139,45.458739,10.9392662,,,,,,966332193,node
Taverna Kus,ristorante,"CONTRADA CASTELLO, 14",San Zeno di Montagna,VR,37010,45.6426345,10.7351044,+39 045 7285667,https://www.ristoranteveronatavernakus.it/,tavernakus@libero.it,"Tu-Su 12:00-14:00,19:00-22:00",regional,972026700,node
Corte Poli,ristorante,,,VR,,45.3885941,11.1136127,,,,,,1018379415,node
Pino 2,ristorante,,,VR,,45.577296,10.7288085,,,,,italian,1039959087,node
Riviera Cassan,bar,"Via Guglielmo Marconi, 89",San Giovanni Lupatoto,VR,,45.3761555,11.0561324,,,,,,1071749507,node
Ristorante Pizzeria Italia,ristorante,,,VR,,45.2407633,10.8016059,,,,,regional,1080373215,node
Shisha bar,bar,,,VR,,45.5080453,10.7326803,,,,,,1080680751,node
"Agriturismo ""La Zerpa""",ristorante,,,VR,,45.3549051,11.2514805,,,,,italian,1083518375,node
Pizzeria Ristorante MaryGiò,ristorante,"Via Giovanni Pascoli, 42j",Affi,VR,,45.5522237,10.7891119,,,,,pizza,1096510864,node
Ai Pigni de Cerù,ristorante,,,VR,,45.5424464,10.8816995,+39 045 6839021,https://www.ristoranteaipignideceru.com/,info@ristoranteaipignideceru.com,,italian,1148186572,node
Pizzabufalina,ristorante,"Via dell'Artigianato, 11",Valgatara,VR,,45.5237553,10.9071803,+39 045 6801164,,,,pizza,1178827985,node
Pepperone,ristorante,"Via Federico Garofoli, 315",San Giovanni Lupatoto,VR,37057,45.3992242,11.0202754,+39 045 8775455,https://www.pepperone.com/,pepperonevr@libero.it,,,1211247755,node
Mexì,ristorante,"Via Staffali, 20",Dossobuono,VR,37062,45.3882096,10.9059931,,,,,mexican,1216818872,node
Pizzeria 70,ristorante,,,VR,,45.4490953,11.0202086,,,,,pizza,1226447850,node
Osteria La Cantineta,pub,,,VR,,45.4492722,11.0201657,,,,,,1226481132,node
Pub Marogna,pub,,,VR,,45.6280218,10.9516845,,,,,,1228364342,node
Breonio,ristorante,,,VR,,45.6230471,10.9042709,,,,,,1228364355,node
Trattoria Du Scalini,ristorante,,,VR,,45.6123673,10.9118152,,,,,,1228364358,node
Pizzeria da Icio,ristorante,"Via Cesare Battisti, 2",Sant'Anna D'Alfaedo,VR,,45.642171,10.9375233,,,,,pizza,1228364427,node
Pensione Ombra,ristorante,"Via Cesare Battisti, 156",Fosse,VR,37020,45.6462998,10.9372755,+39 045 7519109,https://www.hotelombra.com/contatti.html,,,,1228364436,node
Blu Trend,pub,,,VR,,45.644413,10.936798,,,,,,1228364446,node
Senza nome,pub,,,VR,,45.6434499,10.9362157,,,,,,1228364449,node
Trattoria Chesini,ristorante,"via ca gottolo, 12",Fumane,VR,37022,45.5896637,10.9070101,+390457701867,,,,regional,1231557542,node
The Loft 37,ristorante,"Via Nazionale, 37",San Martino Buon Albergo,VR,37036,45.4220451,11.1045023,+39 045 990099,https://www.theloft37.it/,info@theloft37.it,,pizza,1237021111,node
Panificio Artigiano,panetteria,,,VR,,45.4235128,11.1152824,,,,,,1237295856,node
Senza nome,bar,,,VR,,45.4240437,11.1035342,,,,,,1241683063,node
Senza nome,bar,,,VR,,45.423992,11.1052156,,,,,,1241683067,node
Urban Style Cafè,caffè,,,VR,,45.4227902,11.0922335,,,,,,1244331517,node
Caffè Peretti,bar,,,VR,,45.422571,11.0927458,,,,,,1244331550,node
Senza nome,bar,,,VR,,45.4225186,11.0923491,,,,,,1244331583,node
Pane Bellesini,panetteria,"Piazza del Popolo, 39",,VR,37036,45.4224217,11.0926992,,,,,,1244378846,node
Sapore',fast_food,,,VR,,45.4230136,11.0959598,,,,,,1245589445,node
Saporè,ristorante,,,VR,37036,45.4230117,11.0960778,,,,,,1245589447,node
Da Gigi,ristorante,,,VR,,45.5154141,10.9470887,,,,,italian;pizza,1248136921,node
Senza nome,bar,,,VR,,45.419984,11.0906113,,,,,,1252138198,node
Bar da Gino,bar,,,VR,,45.4249388,11.0838779,,,,,,1252138199,node
Senza nome,bar,,,VR,,45.4189109,11.092623,,,,,,1252138200,node
Bar Erman,bar,"Via Giuseppe Mazzini, 92",Quaderni,VR,37069,45.3298473,10.7896457,,,,,,1261292979,node
Bar Puravida,bar,"Via Mazzini, 188",Quaderni,VR,37069,45.3302979,10.7881138,,,,,,1261300106,node
La Rustega,ristorante,,,VR,,45.3719625,10.7821956,,,,,regional,1262130449,node
Senza nome,ristorante,,,VR,,45.3683296,10.7611017,,,,,regional,1262130470,node
Bar Civico 10,bar,"Piazza Martiri della Libertà, 10",Lugagnano,VR,37060,45.4335781,10.8899475,,,,,,1268916136,node
Hollywood Bar,pub,,,VR,,45.3078247,11.3861861,,,,,,1270988211,node
Il Ristocafè,ristorante,,,VR,,45.3789548,11.2846206,,,,,,1270988445,node
Burger King,fast_food,"Via Tangenziale Esterna, 3",Peschiera,VR,37019,45.4336397,10.7103507,,,,,burger,1273711644,node
Senza nome,panetteria,,,VR,,45.5691707,10.8724819,,,,,,1278718712,node
"Ristorante Pizzeria ""Siena""",ristorante,,,VR,,45.3485336,10.835735,,,,,italian,1291748373,node
"Pasticceria ""Roveda""",caffè,,,VR,,45.3493587,10.8372517,,,,,,1291748379,node
Bar centrale,caffè,,,VR,,45.4092148,11.19476,,,,,,1304585860,node
Trattoria Rosa,ristorante,,,VR,,45.487526,10.8952,,,,,italian,1308897475,node
Victory,bar,"Via Sardegna, 1d",Verona,VR,37139,45.4380411,10.9475321,+39 045 4683812,https://www.victorycaffe.it/,victory@hotmail.it,,,1317459123,node
NaturaSi,ristorante,,,VR,,45.4455859,10.9394196,+39 045 8905576,https://www.ristorantenaturasi.it/,info@ristorantenaturasi.it,,italian,1317968149,node
Bar San Rocco,bar,,,VR,,45.5250297,11.3276684,,,,,,1321625499,node
Pizzeria Al Vento,ristorante,"Via Sardegna, 1",,VR,,45.4385512,10.9472753,,,,,pizza,1321786120,node
Bar Pizzeria Ethiopia,ristorante,,,VR,,45.5326576,11.3596919,,,,,,1323869335,node
Lo stappo - Wine food,bar,"Via Raffaello Sanzio, 18b",Borghetto di Valeggio sul Mincio,VR,37067,45.3538831,10.7245457,+39 045 795 1279,http://www.lostappo.com/#_=_,,,,1341791154,node
Ristorante al Braciere,ristorante,,,VR,,45.3046545,11.0565212,,,,,pizza,1355477496,node
Kirin (sushi resturant),ristorante,,,VR,,45.4453183,10.8432921,,,,,,1355487325,node
Il caminetto,bar,,,VR,,45.6853969,11.086242,,,,,,1357433706,node
Ristorante tipico La Dacia,ristorante,,,VR,,45.5711203,10.7385546,,,,,italian,1379768240,node
Tinelli,panetteria,,,VR,,45.575567,10.7074778,,,,,,1379848158,node
Perbacco,ristorante,"Via Giosuè Carducci, 48a",Verona,VR,37129,45.4422573,11.0064759,+39 045 594193,http://www.trattoriaperbacco.com,,"Mo,Tu,Th-Sa 12:30-14:00,19:30-22:00",,1380926643,node
Manas Fast Food,fast_food,,,VR,,45.4815139,10.8002712,,,,,,1382000193,node
Alla Sorte,bar,,,VR,,45.468981,10.9428285,,,,,,1389186899,node
Trattoria Alla Sorte,ristorante,,,VR,,45.46886,10.9425062,+39 045 8102456,http://www.trattoriaallasorte.it/,info@trattoriaallasorte.it,,italian,1389186900,node
